"","X1056201630_Count_SCREENING","X1056201652_Count_SCREENING","X1056201723_Count_SCREENING","X1056201734_Count_SCREENING","X1056201763_Count_SCREENING","X1056201766_Count_SCREENING","X1093501642_Count_SCREENING","X1093501649_Count_SCREENING","X1093501690_Count_SCREENING","X1245501789_Count_SCREENING","X1322701679_Count_SCREENING","X1351901585_Count_SCREENING","X1351901590_Count_SCREENING","X1351901699_Count_SCREENING","X1351901743_Count_SCREENING","X1351901799_Count_SCREENING","X1371101668_Count_SCREENING","X1371101712_Count_SCREENING","X2000044446_Count_SCREENING","X2000044709_Count_SCREENING","X2000044739_Count_SCREENING","X2000044755_Count_SCREENING","X2000044784_Count_SCREENING","X2000134826_Count_SCREENING","X2000167902_Count_SCREENING","X2000199725_Count_SCREENING","X2000206731_Count_SCREENING","X2000206742_Count_SCREENING","X2000206980_Count_SCREENING","X2000210806_Count_SCREENING","X2000210942_Count_SCREENING","X10562011366_Count_SCREENING","X10562011565_Count_SCREENING","X10562011581_Count_SCREENING","X12455011536_Count_SCREENING","X13227011150_Count_SCREENING","X13519011344_Count_SCREENING","X13519011345_Count_SCREENING","X13519011353_Count_SCREENING","X20000891275_Count_SCREENING","X20001081074_Count_SCREENING","X20001351017_Count_SCREENING","X20001351914_Count_SCREENING","X20001352321_Count_SCREENING","X20001371882_Count_SCREENING","X20001971574_Count_SCREENING","X20001971832_Count_SCREENING","X20001991312_Count_SCREENING","X20002061151_Count_SCREENING","X20002061360_Count_SCREENING","X20002062054_Count_SCREENING","X20002081760_Count_SCREENING","X20002081893_Count_SCREENING","X20002091885_Count_SCREENING","X20002101827_Count_SCREENING","X20002111327_Count_SCREENING","X20002111889_Count_SCREENING","X20002131864_Count_SCREENING","X20002132350_Count_SCREENING","X20002181234_Count_SCREENING","X20002181334_Count_SCREENING","X20004391109_Count_SCREENING","X20004391114_Count_SCREENING","X20007341206_Count_SCREENING","X20007341222_Count_SCREENING","X20007341336_Count_SCREENING","X20007341420_Count_SCREENING","X20011092291_Count_SCREENING","X1056201630_Count_PRE_INFUSION","X1056201652_Count_PRE_INFUSION","X1056201734_Count_PRE_INFUSION","X1056201763_Count_PRE_INFUSION","X1056201766_Count_PRE_INFUSION","X1093501642_Count_PRE_INFUSION","X1093501649_Count_PRE_INFUSION","X1093501690_Count_PRE_INFUSION","X1245501789_Count_PRE_INFUSION","X1322701679_Count_PRE_INFUSION","X1351901585_Count_PRE_INFUSION","X1351901590_Count_PRE_INFUSION","X1351901743_Count_PRE_INFUSION","X1351901799_Count_PRE_INFUSION","X1371101668_Count_PRE_INFUSION","X1371101712_Count_PRE_INFUSION","X2000044446_Count_PRE_INFUSION","X2000044709_Count_PRE_INFUSION","X2000044739_Count_PRE_INFUSION","X2000044755_Count_PRE_INFUSION","X2000044784_Count_PRE_INFUSION","X2000134826_Count_PRE_INFUSION","X2000167902_Count_PRE_INFUSION","X2000199725_Count_PRE_INFUSION","X2000206742_Count_PRE_INFUSION","X2000206980_Count_PRE_INFUSION","X2000210806_Count_PRE_INFUSION","X2000210942_Count_PRE_INFUSION","X2000211830_Count_PRE_INFUSION","X10562011366_Count_PRE_INFUSION","X10562011565_Count_PRE_INFUSION","X12455011536_Count_PRE_INFUSION","X13227011150_Count_PRE_INFUSION","X13519011353_Count_PRE_INFUSION","X13711011381_Count_PRE_INFUSION","X20000891275_Count_PRE_INFUSION","X20001081074_Count_PRE_INFUSION","X20001331759_Count_PRE_INFUSION","X20001351017_Count_PRE_INFUSION","X20001351914_Count_PRE_INFUSION","X20001352321_Count_PRE_INFUSION","X20001371882_Count_PRE_INFUSION","X20001971574_Count_PRE_INFUSION","X20001971832_Count_PRE_INFUSION","X20001991312_Count_PRE_INFUSION","X20002061151_Count_PRE_INFUSION","X20002061360_Count_PRE_INFUSION","X20002062054_Count_PRE_INFUSION","X20002081893_Count_PRE_INFUSION","X20002091885_Count_PRE_INFUSION","X20002101827_Count_PRE_INFUSION","X20002111889_Count_PRE_INFUSION","X20002131864_Count_PRE_INFUSION","X20002181234_Count_PRE_INFUSION","X20002181334_Count_PRE_INFUSION","X20004391109_Count_PRE_INFUSION","X20004391114_Count_PRE_INFUSION","X20007341206_Count_PRE_INFUSION","X20007341222_Count_PRE_INFUSION","X20007341336_Count_PRE_INFUSION","X20007341420_Count_PRE_INFUSION","X20011092291_Count_PRE_INFUSION","X1056201630_Count_DOSE_2","X1056201652_Count_DOSE_2","X1056201723_Count_DOSE_2","X1056201734_Count_DOSE_2","X1056201763_Count_DOSE_2","X1056201766_Count_DOSE_2","X1093501642_Count_DOSE_2","X1093501649_Count_DOSE_2","X1093501690_Count_DOSE_2","X1322701679_Count_DOSE_2","X1351901585_Count_DOSE_2","X1351901590_Count_DOSE_2","X1351901743_Count_DOSE_2","X1351901799_Count_DOSE_2","X1371101668_Count_DOSE_2","X1371101712_Count_DOSE_2","X2000044446_Count_DOSE_2","X2000044739_Count_DOSE_2","X2000044755_Count_DOSE_2","X2000044784_Count_DOSE_2","X2000134826_Count_DOSE_2","X2000199725_Count_DOSE_2","X2000206731_Count_DOSE_2","X2000206742_Count_DOSE_2","X2000206980_Count_DOSE_2","X2000210806_Count_DOSE_2","X2000210942_Count_DOSE_2","X2000211830_Count_DOSE_2","X10025011361_Count_DOSE_2","X10562011366_Count_DOSE_2","X10562011565_Count_DOSE_2","X12455011536_Count_DOSE_2","X13227011150_Count_DOSE_2","X13519011344_Count_DOSE_2","X13519011345_Count_DOSE_2","X13519011353_Count_DOSE_2","X13711011381_Count_DOSE_2","X20000891275_Count_DOSE_2","X20001081074_Count_DOSE_2","X20001331759_Count_DOSE_2","X20001351017_Count_DOSE_2","X20001352321_Count_DOSE_2","X20001971574_Count_DOSE_2","X20001991312_Count_DOSE_2","X20002061360_Count_DOSE_2","X20002062054_Count_DOSE_2","X20002081760_Count_DOSE_2","X20002081893_Count_DOSE_2","X20002091874_Count_DOSE_2","X20002091885_Count_DOSE_2","X20002101827_Count_DOSE_2","X20002111327_Count_DOSE_2","X20002132350_Count_DOSE_2","X20002181234_Count_DOSE_2","X20004391109_Count_DOSE_2","X20004391114_Count_DOSE_2","X20007341206_Count_DOSE_2","X20007341222_Count_DOSE_2","X20007341336_Count_DOSE_2","X20007341420_Count_DOSE_2","X20011092291_Count_DOSE_2"
"TRBV1_TRBJ1-1",NA,NA,0.000210304942166141,0.000205044084478163,0,0.000133404482390608,0.000134345402028616,NA,0.000239865675221876,NA,NA,0.0004359197907585,0.000204834084391643,5.82241630276565e-05,NA,NA,NA,0.000121373953149654,0.0001933114247052,NA,NA,NA,9.66370313103981e-05,NA,NA,NA,NA,NA,NA,0,NA,0.000167112299465241,NA,NA,NA,0.000150375939849624,NA,NA,0.000109529025191676,0,NA,NA,NA,NA,NA,NA,0,0,NA,0.000173340266944011,NA,0.000170765027322404,0,NA,NA,0.000188643652141105,NA,NA,0.000139004726160689,NA,0.000436014824504033,0,NA,0.000162760416666667,0,NA,NA,NA,NA,NA,0,0,0.000904977375565611,8.40194925222652e-05,NA,0,NA,NA,0,0,NA,NA,NA,0,0.000236350744504845,NA,NA,NA,0,NA,NA,NA,NA,NA,0.00023623907394283,NA,NA,0,NA,NA,0,0,NA,0.000298240381747689,NA,0.000558035714285714,NA,NA,NA,NA,NA,0.000295464618111981,0.000344827586206897,NA,0,NA,0.000190949016612564,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,0.00029753049687593,0,0,NA,0.000236127508854782,NA,0,0,NA,NA,NA,0.000153940886699507,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0.000188928773852258,NA,NA,0,NA,0,NA,0,NA,NA,NA,0.000201288244766506,0,NA,0,0.000285225328009127,NA,NA,NA,0.000422832980972516,0,NA,7.22595563263242e-05,NA,0,0.000745712155108128,NA,NA,NA
"TRBV1_TRBJ1-2",NA,NA,NA,NA,0,NA,NA,0.000110095783331498,0,NA,NA,NA,0.000102417042195821,5.82241630276565e-05,0,6.94878743659232e-05,0.000142612664004564,0.000121373953149654,NA,NA,NA,NA,9.66370313103981e-05,NA,NA,NA,NA,0.000496770988574267,0,0,NA,0.000334224598930481,0.000122639195486878,NA,0,NA,NA,NA,NA,0,0.00024140012070006,0.000256508913684751,NA,NA,NA,NA,NA,NA,NA,0.000173340266944011,NA,0,NA,NA,0.000130276185513288,NA,NA,NA,0,NA,NA,NA,0.000237812128418549,NA,NA,NA,NA,NA,NA,NA,NA,0.000862068965517241,NA,NA,0,0,NA,NA,NA,0,0.000188129056532781,0,0,0.000100120144173008,NA,NA,NA,NA,0,NA,NA,NA,0,5.59409263817409e-05,0,NA,NA,0,0,0.000153338955761711,NA,NA,0,0.000149120190873844,0,NA,0.000130072840790843,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.000116009280742459,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.000236127508854782,NA,NA,0,0,0,0,0,NA,NA,NA,7.76880049720323e-05,NA,NA,NA,0,0.00016215339711367,0.000237416904083571,NA,NA,NA,0,0.000121359223300971,0.000620347394540943,NA,NA,NA,NA,0.000169750466813784,0,0,NA,0,NA,NA,NA,0,NA,0.000418585182084554,NA,0.000222172850477672,NA,0,NA,0.000290739933129815,NA,NA,0,NA,NA,NA,NA,NA
"TRBV1_TRBJ1-3",NA,NA,NA,NA,0.000137061403508772,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000496770988574267,0.00010082677959266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000218007412252017,NA,NA,NA,NA,0.000186915887850467,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0.000180701120346946,0.000162760416666667,NA,NA,9.40645282663907e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,7.66929979292891e-05,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000267594327000268,0.000157977883096366,0.000209292591042277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"TRBV1_TRBJ1-4",0.000171703296703297,0,NA,0,NA,0,6.71727010143078e-05,NA,0,NA,0.000139938427092079,NA,0,0.000116448326055313,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000411748558880044,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0.000139004726160689,NA,NA,NA,0.000237812128418549,0,NA,NA,NA,NA,0,0.000250312891113892,0.000529100529100529,NA,0,8.40194925222652e-05,NA,0.000327332242225859,NA,0.000162760416666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0.000329380764163373,5.59409263817409e-05,NA,NA,NA,NA,NA,NA,NA,0.000297574765659872,NA,0,NA,NA,NA,NA,NA,0.000125643925116221,NA,NA,NA,NA,NA,NA,NA,0.00012298610257041,0,NA,NA,NA,NA,NA,0,0.000199163513244374,NA,NA,NA,NA,0,0,NA,0,NA,0.000135722041259501,0,NA,0.000236127508854782,0,NA,0.000105252078728555,NA,NA,NA,NA,NA,NA,NA,7.76880049720323e-05,0,0.00016636167027117,NA,0,0.00016215339711367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.000178986933953821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000292397660818713,NA,0,NA,NA,0,0,NA,NA,NA,NA
"TRBV1_TRBJ1-5",NA,0.000524383848977452,0,NA,NA,0.000266808964781217,6.71727010143078e-05,NA,NA,0.000151768098345728,0,NA,NA,NA,0.000148986889153754,0,0.000142612664004564,0,0.0003866228494104,NA,0.000128617363344051,NA,0,NA,NA,0,NA,NA,0.00010082677959266,NA,NA,0.000167112299465241,0,NA,NA,0.000150375939849624,NA,NA,0,NA,0.00012070006035003,0.000128254456842375,0,NA,0,NA,0,0.000575043128234618,NA,0,0,NA,0,0,NA,0.000188643652141105,NA,0.00021043771043771,NA,NA,NA,NA,0,0.000325520833333333,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,0.000162760416666667,NA,NA,0,7.57575757575758e-05,0,0.000100120144173008,0.000236350744504845,NA,0.000130106687483737,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,0.000192678227360308,NA,0,0.000446362148489808,NA,NA,0,NA,0,0.000114784205693297,NA,0.000125643925116221,NA,0.000147732309055991,0,NA,0.000492853622474125,0.000164541341011929,0,0,NA,NA,0,NA,NA,NA,0,0.000398327026488747,NA,NA,NA,0,NA,0,0.000241021932995903,NA,NA,0.000271444082519001,7.66929979292891e-05,NA,NA,0,NA,NA,0.00012853470437018,0,0,0,0,0.00031496062992126,NA,7.76880049720323e-05,NA,0.00016636167027117,NA,NA,0.00016215339711367,NA,NA,NA,NA,0.000408997955010225,0,NA,0.000188928773852258,NA,NA,0,NA,NA,0,NA,0.000337837837837838,NA,NA,0,0,0.000157977883096366,NA,0.000285225328009127,NA,0.000494559841740851,NA,0,NA,NA,NA,0.000248570718369376,0,NA,NA,NA,0.000282725473565168
"TRBV1_TRBJ1-6",NA,NA,NA,NA,NA,0.000133404482390608,6.71727010143078e-05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0.000163988192850115,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00033167495854063,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.000441696113074205,NA,0,NA,NA,NA,0.000136221223266585,NA,NA,NA,NA,NA,NA,NA,7.66694778808556e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000125643925116221,NA,NA,NA,NA,NA,NA,NA,0.00012298610257041,NA,NA,NA,NA,NA,0.000175901495162709,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.000105252078728555,NA,NA,NA,NA,NA,NA,0,NA,NA,0.00016636167027117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000310173697270471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,7.22595563263242e-05,0.000248570718369376,NA,NA,NA,NA,NA
"TRBV1_TRBJ2-1",NA,NA,NA,0,0.000137061403508772,0.000400213447171825,0,0.000220191566662997,NA,0.000151768098345728,NA,0.0004359197907585,0,5.82241630276565e-05,NA,0,0,0,0.0001933114247052,NA,0.000128617363344051,0.000163988192850115,0.000289911093931194,0.000274499039253363,0.000373134328358209,0,NA,0,0,0.000290402207056774,NA,0.000167112299465241,0.000613195977434388,NA,0.00033167495854063,0,0,0.000398247710075667,0,0,NA,NA,0.00021654395842356,NA,0.000178412132024978,0,NA,0,NA,0.000173340266944011,0.000240731824747232,0.000170765027322404,NA,NA,0.000130276185513288,NA,NA,0.00021043771043771,0.000139004726160689,NA,0.000218007412252017,0.00019588638589618,0.000237812128418549,NA,NA,NA,0,NA,NA,NA,0.000529100529100529,0,0.000904977375565611,0.00016803898504453,0.000154416306361952,NA,0.000180701120346946,NA,0,9.67211529161428e-05,NA,0,0.000559910414333707,0.000100120144173008,0,NA,0,0,0.000340657468915006,0,0,0,0.000329380764163373,0,0,NA,NA,0,0.000192678227360308,0.000153338955761711,0.00032916392363397,0,NA,0.000149120190873844,NA,NA,NA,0.000114784205693297,NA,0.000125643925116221,0,NA,0.000344827586206897,NA,0,0,NA,NA,0.000232018561484919,NA,0,NA,0.000336700336700337,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0.000430477830391735,NA,NA,0,0.000105252078728555,NA,8.46166864105602e-05,0,0,0,0.00015748031496063,0.000436967445925279,7.76880049720323e-05,0,0.00016636167027117,NA,0,0.00016215339711367,0,NA,NA,NA,0,0,0.000310173697270471,0,9.3014603292717e-05,0,0.000381533765738268,NA,0,NA,NA,NA,NA,0.000175131348511384,0.000201288244766506,0,0,0.000209292591042277,NA,0.000222172850477672,NA,0.000292397660818713,NA,0,NA,7.22595563263242e-05,0,NA,NA,NA,0.000317460317460317,NA
"TRBV1_TRBJ2-2",0.000171703296703297,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.000121373953149654,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,0.000145201103528387,NA,NA,0,NA,NA,0,NA,NA,0,0,0.00012070006035003,NA,NA,0,NA,NA,0,0.000575043128234618,NA,0,0,NA,0,0,0,NA,NA,0,NA,NA,0.000218007412252017,0,NA,0.000162760416666667,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,0.000180701120346946,NA,NA,NA,NA,NA,NA,0.000100120144173008,NA,NA,0.000130106687483737,NA,0,NA,NA,0,NA,5.59409263817409e-05,0.00023623907394283,NA,NA,NA,0.000192678227360308,NA,0.000164581961816985,0.000148787382829936,NA,0,0.000123411082315192,0.000558035714285714,NA,NA,0.000238606537819136,NA,NA,0.000147732309055991,0,NA,0,8.22706705059646e-05,0.000190949016612564,0,0.000232018561484919,NA,0.000424989375265618,NA,0,0,NA,0.000199163513244374,NA,NA,0,0.000656167979002625,0.000388198757763975,NA,NA,NA,0.000148765248437965,0.000135722041259501,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,7.76880049720323e-05,NA,0.00016636167027117,NA,NA,0,0,NA,NA,NA,NA,0.000121359223300971,NA,0.000377857547704515,NA,NA,0,NA,0.000178986933953821,0,0,NA,0,NA,0,0.000267594327000268,0,NA,0,NA,0.000494559841740851,0,NA,NA,NA,7.22595563263242e-05,NA,0,NA,NA,0.000317460317460317,0.000282725473565168
"TRBV1_TRBJ2-3",0.000171703296703297,NA,NA,NA,NA,NA,6.71727010143078e-05,0,NA,NA,NA,NA,0.000102417042195821,0.000174672489082969,0,0,0,0.000121373953149654,0,NA,0.000128617363344051,NA,9.66370313103981e-05,0,0.000186567164179104,0,0.000183992640294388,0,0.00010082677959266,0,0,NA,0,0.000248941996514812,0.00033167495854063,0,0.000350754121360926,0.000398247710075667,0.000109529025191676,0,NA,0.000128254456842375,0,NA,0.000178412132024978,0,NA,0,NA,0.000173340266944011,0,0.000341530054644809,0.000229990800367985,0,0.000130276185513288,0.000188643652141105,NA,0.00021043771043771,0.000139004726160689,NA,NA,0,NA,0,NA,NA,0,0,0.000425894378194208,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0.000188129056532781,7.57575757575758e-05,0.000279955207166853,0,0,NA,0,NA,0.000340657468915006,0.000187687687687688,0,0,0.000329380764163373,0.000111881852763482,0.00023623907394283,0.00050251256281407,0.000744047619047619,NA,0,0,0.000164581961816985,0,0.000183385292499542,0,NA,NA,0.000260145681581686,0.000229568411386593,NA,0,0,NA,0.000344827586206897,NA,0,8.22706705059646e-05,0,0.00012298610257041,0.000116009280742459,NA,0.000424989375265618,NA,NA,0,NA,0.000398327026488747,NA,NA,0.000338638672536404,0.000656167979002625,0.000388198757763975,NA,NA,NA,NA,NA,7.66929979292891e-05,0.000286985220261157,NA,NA,NA,0,0.00012853470437018,8.46166864105602e-05,0,0,0.000183016105417277,0.00015748031496063,NA,7.76880049720323e-05,0,0.00016636167027117,0,0,0.00016215339711367,0.000237416904083571,0,0,NA,NA,0.000121359223300971,0,0,0,0.000535905680600214,0.00063588960956378,0,0.000178986933953821,NA,NA,0.000168918918918919,NA,0.000175131348511384,0.000201288244766506,0,0,0,0,NA,0,0,0.000422832980972516,0,NA,7.22595563263242e-05,NA,0,NA,NA,0,0
"TRBV1_TRBJ2-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.82241630276565e-05,0.000148986889153754,0,NA,0,NA,NA,NA,0,NA,NA,NA,0.000146348602370847,0.000367985280588776,0,NA,0,NA,NA,NA,0.000248941996514812,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000411861614497529,NA,NA,NA,NA,NA,NA,NA,0.00019588638589618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.000151515151515152,NA,0,NA,NA,NA,0,NA,NA,NA,0.000136221223266585,0.000329380764163373,NA,0,NA,NA,NA,NA,NA,0.00032916392363397,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000105252078728555,0,0,NA,0.000153940886699507,NA,NA,0.000218483722962639,NA,NA,0.00016636167027117,0.000730994152046784,0,NA,0.000237416904083571,NA,NA,NA,NA,NA,NA,0.000188928773852258,9.3014603292717e-05,NA,NA,0.000169750466813784,0.000178986933953821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
